# DASYLab - V 12.00.01\n
# Worksheet name: Olympus AlfonsoX\n
# Recording date     : 27/04/2017, 17:47:24\n
# Block length       : 4\n
# Delta              : 0.333333 sec.\n
# Number of channels : 16\n
# Measurement time[s]	P0 [Pa]	P2 [Pa]	P3t [Pa]	P4t [Pa]	P5t [Pa]	P6t [Pa]	T2t [K]	T3t [K]	T4t1 [K]	T4t2 [K]	T5t1 [K]	T5t2 [K]	T8t [K]	Empuje [N]	fuel [kg/s]	aire [kg/s]	/s]	
8.6666666667	93042.3359375	92522.765625	93069.953125	93238.890625	93050.007813	88550.023438	293.744812	308.163727	774.907104	1065.823364	677.057983	773.907837	674.806519	-6.486432	0.000672	0.000245	
9.0000000000	93383.2109375	92864.492188	93475.867188	93165.664063	93397.078125	95055.132813	293.721405	308.702789	786.711670	1075.022705	686.948364	790.380615	692.875244	-6.239194	0.000662	0.000439	
9.3333333333	93575.2968750	93056.359375	93792.585938	93654.882813	93531.914063	95239.335938	293.478943	307.268005	805.639221	1080.161499	701.136780	804.034973	706.784912	-6.934801	0.000489	0.000000	
9.6666666667	93036.1328125	92517.742188	93089.117188	93234.257813	93038.484375	88563.171875	293.670105	308.076019	819.469360	1086.320679	713.055542	864.654846	707.694458	-6.228377	0.000679	0.000072	
10.0000000000	93284.5937500	92767.632813	93349.062500	93114.835938	93301.078125	95074.585938	293.645813	308.752533	831.949585	1096.646851	724.768799	902.087463	706.929565	-6.097522	0.000679	0.000497	
10.3333333333	93664.2109375	93145.039063	93889.757813	93723.359375	93626.781250	95402.164063	293.372009	307.678375	845.783936	1112.904541	735.154053	919.848083	713.978882	-6.905929	0.000463	0.000000	
10.6666666667	93039.6484375	92524.406250	93129.078125	93244.375000	93036.820313	88764.234375	293.602783	308.037140	855.489380	1112.798584	747.081787	922.607544	716.019348	-5.845286	0.000681	0.000000	
11.0000000000	93152.3906250	92631.398438	93180.414063	93032.312500	93169.742188	94855.179688	293.597229	308.848480	854.488159	1103.179688	749.528442	920.659973	723.285156	-6.025082	0.000667	0.000516	
11.3333333333	93785.9375000	93263.781250	94011.281250	93791.945313	93757.554688	95562.039063	293.279022	308.134247	855.001831	1092.055054	751.288208	919.991760	730.756348	-6.856690	0.000372	0.000000	
11.6666666667	93069.2968750	92550.328125	93197.992188	93268.992188	93059.789063	89086.468750	293.539978	307.920227	857.503845	1088.407349	754.462769	916.136963	733.216858	-5.818578	0.000666	0.000000	
12.0000000000	93045.5078125	92521.148438	93019.765625	92991.773438	93061.164063	94802.914063	293.532654	308.853668	860.282227	1071.181885	759.020386	924.637268	735.748657	-5.960848	0.000653	0.000464	
12.3333333333	93797.8046875	93275.164063	94020.531250	93731.179688	93774.843750	95502.515625	293.241241	308.747803	859.513855	1061.996460	755.155029	928.192322	735.478333	-6.913763	0.000317	0.000000	
12.6666666667	93163.2500000	92639.218750	93337.453125	93360.117188	93140.195313	89822.679688	293.475677	307.907959	858.949463	1052.126831	752.249634	930.410095	735.870300	-5.804030	0.000652	0.000000	
13.0000000000	93051.2265625	92529.015625	92970.117188	93077.046875	93068.242188	94723.851563	293.478851	308.633026	858.302246	1041.132568	754.250061	941.586609	731.752869	-5.972486	0.000656	0.000502	
13.3333333333	93717.6484375	93198.351563	93934.132813	93577.445313	93705.820313	95212.382813	293.222229	308.934265	863.423096	1032.323730	752.366211	943.449402	729.621521	-6.958375	0.000381	0.000000	
13.6666666667	93260.4687500	92740.890625	93481.382813	93462.054688	93224.585938	90935.585938	293.418396	308.106689	867.919800	1030.402344	752.711121	951.851318	732.236633	-5.825218	0.000654	0.000000	
14.0000000000	93043.4453125	92523.171875	92935.351563	93151.015625	93068.156250	94755.734375	293.435181	308.386230	857.060364	1014.991760	749.615234	952.014282	725.978516	-6.015308	0.000675	0.000728	
14.3333333333	93639.0703125	93114.578125	93841.867188	93441.640625	93640.304688	94903.820313	293.219452	309.006165	864.004883	1010.013855	751.666443	969.567566	723.873413	-6.998811	0.000459	0.000036	
14.6666666667	93344.0000000	92822.960938	93575.789063	93541.179688	93297.570313	92240.078125	293.388062	308.273102	868.834656	1008.929443	753.241760	991.440979	727.750183	-5.787991	0.000723	0.000000	
15.0000000000	93042.6718750	92517.242188	92976.664063	93233.882813	93065.007813	94851.609375	293.412262	308.182098	874.282776	1009.178772	759.779663	998.500793	724.607544	-6.039853	0.000720	0.000648	
15.3333333333	93543.7265625	93022.507813	93718.328125	93342.210938	93562.140625	94344.968750	293.235809	309.080872	881.360474	1002.430237	764.135071	1028.580200	723.492310	-7.056927	0.000497	0.000529	
15.6666666667	93491.0546875	92968.515625	93724.453125	93634.468750	93437.414063	93888.304688	293.350952	308.465912	880.517639	1002.249268	764.938171	1057.123535	724.545898	-5.733082	0.000715	0.000000	
16.0000000000	93046.4218750	92525.125000	93022.289063	93254.921875	93075.000000	94896.289063	293.374664	307.881104	880.570190	1003.290710	772.414368	1087.273926	722.782654	-6.015607	0.000733	0.000806	
16.3333333333	93398.0625000	92874.195313	93544.273438	93250.312500	93432.500000	93531.218750	293.258972	309.199432	888.202026	1001.881287	776.757751	1120.942627	721.822388	-7.011344	0.000574	0.000961	
16.6666666667	93649.0703125	93130.546875	93888.312500	93728.343750	93617.445313	95555.828125	293.311462	308.747101	891.390564	1003.484009	777.095764	1137.667114	725.622742	-5.693468	0.000735	0.000000	
17.0000000000	93040.6562500	92518.109375	93059.617188	93246.960938	93062.023438	94875.617188	293.351807	307.483917	893.508850	1005.914429	784.052246	1153.788818	724.430847	-5.979424	0.000729	0.000590	
17.3333333333	93269.7968750	92745.445313	93380.570313	93167.640625	93300.507813	92615.335938	293.272125	309.262146	894.149170	1002.557495	787.575378	1182.119873	719.059937	-6.991052	0.000623	0.000841	
17.6666666667	93798.5781250	93276.109375	94035.000000	93820.312500	93779.054688	95673.500000	293.271179	308.961151	894.493286	1003.926819	788.129089	1201.879395	723.852295	-5.658926	0.000742	0.000000	
18.0000000000	93042.5781250	92520.460938	93108.859375	93246.046875	93061.335938	94860.312500	293.314392	307.050903	896.304077	1000.893982	795.419983	1201.823242	724.414856	-5.961967	0.000750	0.000510	
18.3333333333	93140.6640625	92616.546875	93213.382813	93085.671875	93184.390625	91710.257813	293.274658	309.275116	897.378540	996.355042	798.713562	1211.301514	720.137695	-6.924058	0.000683	0.001186	
18.6666666667	93945.6328125	93423.367188	94185.273438	93888.445313	93960.953125	95761.343750	293.224945	309.160095	896.878662	991.428894	797.185730	1230.313965	724.994080	-5.623638	0.000749	0.000414	
19.0000000000	93088.3281250	92564.226563	93214.812500	93281.421875	93119.328125	94907.781250	293.228241	306.541992	899.840027	992.470032	804.704895	1252.647095	727.102173	-5.978902	0.000769	0.000831	
19.3333333333	93044.3515625	92519.671875	93075.796875	93068.914063	93122.773438	90809.953125	293.235199	309.340393	906.503967	992.736694	808.727417	1266.314575	727.501648	-6.783280	0.000772	0.002094	
19.6666666667	93879.2187500	93350.343750	94135.976563	93727.070313	93919.992188	95778.296875	293.177734	309.390137	911.868164	990.114380	810.248047	1290.587280	730.581543	-5.557763	0.000775	0.001082	
20.0000000000	93189.7265625	92663.164063	93399.765625	93384.078125	93225.953125	95063.031250	293.132721	306.541534	914.753662	989.783630	813.310547	1298.789429	730.651550	-5.980319	0.000760	0.000959	
20.3333333333	93041.2812500	92519.703125	93045.140625	93143.507813	93127.835938	90017.648438	293.179871	309.318237	915.267334	991.013855	818.509338	1296.645386	730.676941	-6.547980	0.000809	0.002290	
20.6666666667	93762.2421875	93239.140625	94039.335938	93526.773438	93821.742188	95677.640625	293.139648	309.520020	917.818542	991.063477	821.765381	1302.991943	734.064209	-5.413181	0.000816	0.001570	
21.0000000000	93261.0000000	92736.984375	93562.257813	93459.757813	93330.085938	95113.039063	293.056030	307.066467	919.409363	994.857056	825.715759	1308.774414	734.856018	-5.898852	0.000761	0.001819	
21.3333333333	93044.7421875	92519.750000	93142.632813	93223.375000	93150.554688	89499.046875	293.153564	309.328613	917.671570	998.971191	829.866577	1332.221924	731.493469	-6.162353	0.000820	0.002769	
21.6666666667	93669.7812500	93147.835938	94014.328125	93384.000000	93789.101563	95687.335938	293.129364	309.658630	917.322876	995.997498	830.948486	1338.917114	733.468689	-5.298515	0.000830	0.003118	
22.0000000000	93353.8984375	92835.976563	93767.507813	93530.640625	93419.406250	95402.218750	292.997955	307.493347	916.713196	1001.481628	831.762695	1343.796875	733.569275	-5.795227	0.000763	0.001708	
22.3333333333	93042.8671875	92521.750000	93235.796875	93260.804688	93170.312500	89100.554688	293.136414	309.367279	916.399658	1003.863159	834.786499	1350.483154	733.895081	-5.821040	0.000846	0.003318	
22.6666666667	93524.1171875	92997.578125	93978.804688	93278.265625	93660.617188	95698.296875	293.129517	309.777893	918.339722	999.977478	836.052002	1347.401733	735.462646	-5.174001	0.000852	0.003556	
23.0000000000	93480.1484375	92958.007813	94046.382813	93613.187500	93600.000000	95576.421875	292.945160	308.013580	919.065857	1005.262146	837.575317	1353.113525	735.794861	-5.801867	0.000737	0.003117	
23.3333333333	93039.6953125	92512.406250	93477.468750	93258.257813	93216.750000	88870.531250	293.130707	309.281250	914.920471	1007.046997	840.643005	1353.887329	734.059998	-5.454660	0.000872	0.004603	
23.6666666667	93364.4218750	92840.507813	93982.804688	93181.460938	93536.007813	95483.679688	293.129913	309.876892	913.953430	1008.150391	844.595154	1351.625244	734.504517	-5.088281	0.000878	0.004459	
24.0000000000	93618.0234375	93092.984375	94337.687500	93695.406250	93738.312500	95738.296875	292.892029	308.584473	915.531616	1005.789307	846.140442	1352.792603	736.935669	-5.764490	0.000712	0.003122	
24.3333333333	93052.1875000	92525.484375	93690.906250	93257.234375	93246.367188	89004.234375	293.126648	309.231506	912.147156	1003.570862	847.234680	1352.776489	738.347717	-4.909456	0.000900	0.005043	
24.6666666667	93216.9296875	92687.281250	94028.210938	93071.695313	93395.968750	95271.820313	293.137054	310.000397	910.450745	1001.721924	850.078491	1342.973511	737.909851	-4.940341	0.000902	0.004656	
25.0000000000	93737.2578125	93205.664063	94684.046875	93772.507813	93915.226563	95832.218750	292.847595	309.103973	907.504333	1002.470581	850.845520	1340.244385	736.702271	-5.667878	0.000706	0.004631	
25.3333333333	93047.6718750	92516.984375	93908.687500	93251.460938	93281.781250	89256.078125	293.115387	309.219025	903.235901	999.254944	851.127380	1334.749634	735.982056	-4.819931	0.000914	0.006102	
25.6666666667	93102.7968750	92569.164063	94167.179688	93005.046875	93344.312500	95144.703125	293.130737	310.100586	896.948547	997.552734	853.626282	1331.781006	735.168823	-4.908262	0.000925	0.006296	
26.0000000000	93814.8203125	93281.296875	95072.898438	93804.476563	94055.609375	95901.140625	292.824738	309.589569	895.167786	1001.637146	854.707275	1330.567871	736.640686	-5.606628	0.000713	0.006277	
26.3333333333	93080.3984375	92543.882813	94274.046875	93280.414063	93390.437500	89492.359375	293.092346	309.214539	894.541016	1006.637695	855.340332	1331.921021	735.687622	-4.663412	0.000951	0.008085	
26.6666666667	93038.2500000	92505.671875	94404.054688	92990.804688	93360.140625	95059.289063	293.092987	310.231415	885.319824	1006.405701	858.238831	1315.430298	734.552185	-4.693254	0.000957	0.008422	
27.0000000000	93800.6953125	93261.031250	95294.156250	93741.304688	94036.351563	95848.718750	292.803986	310.174133	886.125122	1010.393250	859.100281	1298.603027	737.066467	-5.408331	0.000721	0.006182	
27.3333333333	93144.4609375	92606.281250	94745.039063	93341.640625	93473.468750	90014.125000	293.048126	309.376465	881.328979	1020.094604	859.235474	1281.120117	737.710876	-4.378575	0.000972	0.008675	
27.6666666667	93051.5156250	92511.031250	94838.140625	93055.007813	93390.101563	95205.179688	293.054596	310.265106	874.841492	1023.135071	860.969360	1269.639893	735.979919	-4.430573	0.000974	0.008949	
28.0000000000	93750.3281250	93211.726563	95713.539063	93643.773438	94092.062500	95802.242188	292.790680	310.532898	873.580994	1030.942383	858.701843	1254.138062	736.976746	-5.187206	0.000751	0.009070	
28.3333333333	93217.5078125	92680.164063	95242.742188	93420.351563	93590.992188	90800.015625	293.010254	309.720612	868.688843	1036.591309	854.988525	1229.331665	739.450256	-4.092469	0.001013	0.009984	
28.6666666667	93050.6015625	92511.375000	95220.000000	93115.726563	93492.273438	95228.921875	293.023560	310.301636	862.470459	1035.822510	857.566406	1212.948486	738.840576	-4.117610	0.001048	0.011855	
29.0000000000	93690.9765625	93152.687500	96088.101563	93535.687500	94171.453125	95662.859375	292.787872	310.812439	866.490112	1039.879639	859.533508	1206.080078	742.111572	-4.938327	0.000888	0.012916	
29.3333333333	93291.7578125	92751.382813	95974.804688	93498.375000	93812.742188	91822.242188	292.979950	310.054626	864.556335	1041.032593	860.188782	1199.116577	748.321411	-3.849633	0.001117	0.014033	
29.6666666667	93052.4765625	92512.500000	95870.031250	93176.398438	93614.742188	95455.476563	293.005890	310.308472	861.189880	1049.780884	866.431641	1197.623291	755.726746	-3.879624	0.001166	0.015135	
30.0000000000	93643.2031250	93099.335938	96811.109375	93447.976563	94233.539063	95551.976563	292.794861	311.056885	863.957458	1062.971924	869.553406	1208.386597	759.428101	-4.620739	0.001043	0.015841	
30.3333333333	93356.8750000	92810.617188	96845.937500	93553.429688	94043.125000	93026.578125	292.960815	310.404175	859.404602	1096.484497	870.364014	1207.105103	764.520935	-3.500711	0.001249	0.018436	
30.6666666667	93045.7500000	92497.429688	96851.335938	93243.875000	93794.914063	95626.546875	292.981445	310.443787	854.143982	1114.742554	878.718201	1217.655029	771.728455	-3.449085	0.001293	0.020049	
31.0000000000	93554.8281250	93007.546875	97782.851563	93353.625000	94349.093750	95236.648438	292.799744	311.439209	854.861084	1146.428467	881.683044	1222.241943	770.706909	-4.113433	0.001202	0.021228	
31.3333333333	93467.8906250	92918.875000	98215.203125	93619.796875	94339.679688	94454.703125	292.914398	310.919922	849.915466	1167.931274	879.069092	1215.306885	778.634094	-2.883588	0.001370	0.023372	
31.6666666667	93048.8203125	92492.781250	98167.218750	93261.406250	94003.804688	95785.179688	292.935181	310.597229	843.442383	1204.367798	883.292908	1205.999756	784.631897	-2.715954	0.001411	0.025567	
32.0000000000	93455.4453125	92898.226563	99077.429688	93298.898438	94579.031250	94898.335938	292.799683	311.990540	839.731445	1244.547974	881.890686	1197.159912	785.208069	-3.311143	0.001356	0.029616	
32.3333333333	93582.2656250	93011.929688	99880.789063	93700.843750	94757.828125	95999.007813	292.868744	311.691193	833.570740	1281.236694	878.042480	1179.740967	793.474670	-1.982822	0.001493	0.031007	
32.6666666667	93046.1328125	92481.453125	100072.343750	93369.085938	94397.359375	95957.812500	292.896576	311.065125	826.252380	1316.912842	883.268860	1157.949097	803.297363	-1.707459	0.001537	0.035312	
33.0000000000	93371.7734375	92789.679688	101235.007813	93884.015625	94894.125000	94665.468750	292.794647	312.894287	825.027039	1347.075439	883.084412	1135.436401	811.349243	-2.157544	0.001501	0.039646	
33.3333333333	93673.1953125	93084.515625	102498.484375	95222.742188	95311.398438	96807.632813	292.822601	312.861511	816.434998	1363.029541	876.598450	1101.206055	822.720459	-0.750515	0.001590	0.042892	
33.6666666667	93048.6796875	92445.250000	102929.054688	95626.718750	94750.039063	96276.937500	292.857147	311.998077	803.973389	1358.850586	876.179016	1066.031250	827.218994	-0.319753	0.001638	0.044824	
34.0000000000	93297.1406250	92700.179688	104263.203125	96660.312500	95106.320313	94601.648438	292.772034	314.321991	793.805298	1350.135498	876.976135	1036.572632	827.548462	-0.537447	0.001639	0.047853	
34.3333333333	93754.5546875	93145.078125	106140.953125	98718.804688	95726.773438	97479.921875	292.777954	314.667084	784.892822	1322.608765	871.776489	1014.414856	838.756287	0.873088	0.001716	0.051982	
34.6666666667	93052.2812500	92445.109375	106707.203125	99344.046875	95403.031250	96855.000000	292.826569	313.720673	776.066223	1313.323242	868.436584	984.782959	841.336365	1.561980	0.001760	0.060720	
35.0000000000	93215.5390625	92597.492188	108059.445313	100358.468750	95733.828125	94653.328125	292.775085	316.547852	770.054260	1279.732910	860.059326	965.790649	838.386658	1.677094	0.001762	0.064931	
35.3333333333	93857.1640625	93214.726563	110265.773438	102606.828125	96524.023438	98037.046875	292.758514	317.155060	763.161072	1236.408325	846.549011	945.569946	840.138428	3.198863	0.001824	0.068958	
35.6666666667	93046.1796875	92407.710938	110988.687500	103302.273438	95970.304688	97388.296875	292.809692	315.958801	758.810486	1195.995728	842.744690	933.154175	838.856262	4.020475	0.001864	0.074651	
36.0000000000	93125.4765625	92461.554688	112445.031250	104523.265625	96340.351563	94894.757813	292.792908	319.354034	759.692017	1150.453369	837.276062	921.591675	830.313965	4.419456	0.001882	0.080809	
36.3333333333	93940.2968750	93264.273438	114851.945313	106980.976563	97181.882813	98838.273438	292.741302	320.244324	762.010437	1093.327759	826.260193	904.594971	822.830383	5.891465	0.001927	0.082144	
