# DASYLab - V 12.00.01\n
# Worksheet name: Olympus AlfonsoX\n
# Recording date     : 27/04/2017, 17:47:24\n
# Block length       : 4\n
# Delta              : 0.333333 sec.\n
# Number of channels : 16\n
# Measurement time[s]	P0 [Pa]	P2 [Pa]	P3t [Pa]	P4t [Pa]	P5t [Pa]	P6t [Pa]	T2t [K]	T3t [K]	T4t1 [K]	T4t2 [K]	T5t1 [K]	T5t2 [K]	T8t [K]	Empuje [N]	fuel [kg/s]	aire [kg/s]	/s]	
43.0000000000	93029.4531250	92305.265625	115540.640625	107572.476563	95648.742188	92613.210938	292.743622	331.816010	709.838562	837.347412	731.427795	758.947754	659.499390	12.470778	0.001648	0.074353	
43.3333333333	93739.2265625	93033.195313	114377.031250	106246.320313	96017.242188	97865.453125	292.716064	331.204346	700.089600	816.478088	717.344849	749.439392	638.939941	11.778603	0.001599	0.066516	
43.6666666667	93248.1718750	92556.242188	112034.750000	104161.421875	95426.640625	97147.843750	292.646881	327.668152	694.609924	808.329834	711.378723	742.482849	628.384338	10.624854	0.001566	0.064278	
44.0000000000	93039.2109375	92368.796875	110357.531250	102683.742188	95212.359375	91864.507813	292.731262	328.882324	691.506592	803.348999	710.996826	741.835754	627.773132	8.893150	0.001576	0.064146	
44.3333333333	93719.9062500	93063.171875	110155.500000	102277.765625	95804.976563	97484.078125	292.715057	328.182953	692.196716	800.165405	713.337646	748.570740	637.015747	7.881447	0.001569	0.061835	
44.6666666667	93271.5703125	92607.320313	108928.531250	101117.250000	95181.843750	96896.343750	292.626373	324.933868	694.092957	809.522705	717.580688	752.481079	643.268127	6.782384	0.001562	0.057302	
45.0000000000	93034.2656250	92366.195313	107955.890625	100317.742188	94962.734375	91417.882813	292.735138	326.260712	696.801453	817.523987	723.762878	758.783569	647.501221	5.460777	0.001587	0.057481	
45.3333333333	93680.1171875	93015.578125	108301.726563	100365.546875	95655.289063	97288.171875	292.711243	325.898651	700.613770	823.520325	726.747009	771.408508	659.966492	5.210331	0.001582	0.058391	
45.6666666667	93307.8593750	92645.679688	107637.312500	99789.226563	95317.242188	96860.281250	292.603790	322.988525	705.428223	837.338440	730.544434	778.660522	668.175720	4.654831	0.001582	0.058969	
46.0000000000	93045.5078125	92392.328125	107058.031250	99385.695313	94980.851563	91256.781250	292.726868	324.497559	708.812744	853.596924	736.803223	784.808167	673.534607	3.969222	0.001596	0.056906	
46.3333333333	93641.4765625	93013.023438	107759.507813	99939.843750	95645.195313	97337.289063	292.720306	324.407288	712.673340	867.148376	741.602722	798.231689	685.347595	4.023757	0.001597	0.058279	
46.6666666667	93346.0156250	92716.132813	107481.968750	99899.078125	95307.781250	96920.921875	292.594391	321.903046	718.937317	881.255676	746.143494	805.553406	698.092834	3.812405	0.001587	0.057017	
47.0000000000	93036.4765625	92415.718750	107050.406250	99623.492188	95144.054688	91191.976563	292.741516	323.520294	719.325012	894.003418	751.210693	809.900757	707.669373	3.474002	0.001602	0.060306	
47.3333333333	93581.6953125	92940.835938	108034.570313	100239.460938	95720.921875	97327.781250	292.735901	323.697784	720.812012	904.100098	755.892944	815.275818	713.712524	3.813598	0.001598	0.060927	
47.6666666667	93384.0312500	92755.226563	107784.757813	99990.546875	95347.343750	97101.265625	292.589172	321.524261	721.671631	915.093140	758.015076	820.072571	717.023376	3.747947	0.001577	0.056579	
48.0000000000	93038.1093750	92395.867188	107284.804688	99795.546875	95151.343750	91135.046875	292.759827	323.056641	721.811707	921.629883	760.829163	816.724792	717.426208	3.604857	0.001599	0.060126	
48.3333333333	93530.5078125	92898.750000	108135.203125	100314.359375	95623.367188	97229.000000	292.757050	323.369659	724.927063	925.173401	762.223572	823.899841	720.208008	3.827922	0.001589	0.059530	
48.6666666667	93433.5312500	92782.265625	108129.039063	100413.898438	95605.468750	97119.289063	292.595184	321.372223	727.403931	927.054199	762.377075	828.152466	724.473755	3.810987	0.001571	0.061318	
49.0000000000	93036.1328125	92388.695313	107508.343750	100154.218750	95274.710938	90989.132813	292.773102	322.733459	728.045715	930.700073	765.959106	825.727356	725.158020	3.780251	0.001603	0.062842	
49.3333333333	93475.3906250	92809.359375	108351.109375	100530.593750	95698.429688	97303.578125	292.773956	323.177551	727.676331	930.409729	767.420227	829.047913	725.699158	4.033605	0.001590	0.062423	
49.6666666667	93470.4375000	92834.554688	108440.789063	100517.148438	95537.796875	97280.234375	292.589050	321.400970	727.322327	936.359985	766.312134	830.962036	727.850464	4.006226	0.001558	0.058711	
50.0000000000	93034.3125000	92386.679688	107928.351563	100357.093750	95210.554688	90998.679688	292.772034	322.651215	727.044189	933.341858	766.687134	824.968872	727.857666	3.942141	0.001573	0.061357	
50.3333333333	93433.5781250	92784.578125	108428.898438	100660.460938	95651.296875	97270.000000	292.773468	323.180145	726.735107	930.408997	767.134766	827.371338	725.791870	4.116714	0.001566	0.062330	
50.6666666667	93505.2343750	92851.906250	108413.773438	100693.437500	95561.750000	97358.882813	292.568237	321.519073	728.856995	930.061401	764.676147	825.515808	724.194397	4.079785	0.001527	0.058588	
51.0000000000	93035.7500000	92381.453125	107656.156250	100059.820313	95157.070313	90968.945313	292.770233	322.589203	727.231689	928.236877	764.006165	819.420044	719.226624	4.110000	0.001564	0.060207	
51.3333333333	93393.3984375	92741.546875	108126.757813	100290.445313	95463.804688	97142.664063	292.767090	323.120972	726.945740	924.458252	763.510681	823.806274	718.064636	4.238989	0.001532	0.058959	
51.6666666667	93548.0546875	92897.070313	108067.578125	100254.867188	95548.484375	97247.703125	292.548065	321.575409	727.036377	923.752319	760.403687	821.515198	714.453552	4.057777	0.001468	0.057411	
52.0000000000	93038.5390625	92389.750000	107207.710938	99688.757813	95157.679688	90860.476563	292.759766	322.401581	723.731384	917.462769	757.201721	815.327393	711.164429	4.039200	0.001511	0.060363	
52.3333333333	93349.8125000	92700.398438	107419.718750	99739.054688	95415.820313	96998.585938	292.765015	322.913086	722.547729	909.074463	756.755554	816.311951	705.694458	3.930801	0.001496	0.059116	
52.6666666667	93590.5859375	92946.781250	107502.031250	99697.781250	95470.179688	97136.695313	292.525177	321.423828	724.266663	909.640991	755.121399	815.408325	707.195862	3.693262	0.001442	0.054742	
53.0000000000	93038.7812500	92390.445313	106602.492188	99056.679688	94955.875000	90745.828125	292.756042	321.976593	723.678589	906.189575	753.702332	812.289063	708.512512	3.713182	0.001497	0.055657	
53.3333333333	93298.1953125	92657.328125	106908.015625	99001.039063	95188.335938	96930.046875	292.761902	322.493500	722.788696	905.679077	754.107361	817.021790	709.395508	3.645889	0.001495	0.054952	
53.6666666667	93636.1875000	92988.218750	107219.429688	99306.015625	95457.078125	97201.390625	292.506561	321.163605	725.766296	909.551025	754.801086	816.778809	712.783020	3.341058	0.001439	0.053137	
54.0000000000	93039.0234375	92393.031250	106131.570313	98735.265625	94945.039063	90705.500000	292.755493	321.540283	726.761841	915.069397	756.637817	816.529541	712.591309	3.468034	0.001507	0.055267	
54.3333333333	93260.4218750	92621.578125	106411.960938	98774.609375	95105.656250	96835.226563	292.761078	322.132172	724.605103	914.123901	758.950989	821.266541	711.374023	3.235195	0.001501	0.053649	
54.6666666667	93663.1015625	93028.445313	106881.492188	99210.929688	95548.500000	97204.914063	292.492554	320.928833	728.439331	918.787231	759.463562	824.189331	716.603638	2.990718	0.001438	0.054660	
55.0000000000	93041.0390625	92419.414063	106051.031250	98608.992188	94998.351563	90855.195313	292.754547	321.216644	728.837830	923.469055	760.963745	822.953369	721.211792	3.274362	0.001509	0.056297	
55.3333333333	93223.1328125	92575.171875	106418.968750	98711.843750	95153.585938	96744.992188	292.772034	321.898346	726.769897	923.455811	763.256836	830.742615	724.636841	3.211396	0.001512	0.055502	
55.6666666667	93704.3359375	93085.187500	106929.570313	99150.601563	95544.585938	97259.234375	292.495819	320.895355	728.700684	923.607056	761.364868	829.203064	727.448242	2.921336	0.001427	0.053351	
56.0000000000	93043.7812500	92423.046875	106032.226563	98541.617188	95009.468750	90857.335938	292.780090	321.013916	726.434204	923.963684	761.556824	824.933289	730.358643	3.115680	0.001502	0.056450	
56.3333333333	93165.9921875	92529.656250	106063.828125	98496.867188	95027.000000	96759.187500	292.797119	321.758087	725.783386	925.702942	762.609314	828.185364	732.139099	3.024887	0.001501	0.053899	
56.6666666667	93745.8593750	93120.117188	106848.671875	99053.460938	95527.546875	97245.992188	292.522369	320.877686	728.426758	927.791443	761.584167	828.405945	736.676331	2.776008	0.001410	0.051759	
57.0000000000	93038.7812500	92406.187500	105896.546875	98255.515625	94885.367188	90976.062500	292.803284	320.778687	728.347839	935.683960	761.463074	823.244019	734.118286	3.131421	0.001495	0.053603	
57.3333333333	93118.7031250	92492.640625	106077.343750	98546.421875	95003.906250	96635.710938	292.839478	321.574463	726.526917	931.989624	762.917908	828.122559	734.133362	3.020410	0.001488	0.054471	
57.6666666667	93782.0937500	93155.875000	106763.695313	98905.757813	95704.804688	97341.890625	292.544250	320.829132	730.236328	936.475586	762.561584	829.936462	734.523804	2.670668	0.001405	0.055403	
58.0000000000	93048.4375000	92411.570313	105881.843750	98384.343750	94964.710938	91030.335938	292.833435	320.618408	731.322754	938.580994	762.287537	830.083435	733.576843	2.967218	0.001493	0.055176	
58.3333333333	93085.8750000	92455.945313	105903.570313	98299.781250	95009.406250	96649.921875	292.854401	321.549469	729.144775	941.567749	763.107178	831.265686	732.095337	2.845315	0.001494	0.055317	
58.6666666667	93796.8984375	93177.218750	106720.304688	98832.835938	95616.531250	97321.281250	292.561279	320.933075	730.229126	943.906067	760.920776	829.742676	734.330872	2.580994	0.001387	0.052788	
59.0000000000	93063.8203125	92432.773438	105748.625000	98195.343750	94946.125000	91080.125000	292.844879	320.513733	729.832458	945.060059	760.838135	827.824341	735.553223	3.028393	0.001493	0.054437	
59.3333333333	93051.9453125	92433.546875	105698.695313	98126.554688	94857.203125	96529.593750	292.864807	321.419128	728.700378	945.827454	762.779724	832.189514	732.713196	2.896120	0.001492	0.052300	
59.6666666667	93814.8671875	93183.585938	106691.359375	98872.500000	95639.046875	97268.007813	292.580383	320.901245	732.315308	946.581055	762.438660	831.191406	731.072815	2.502511	0.001388	0.052864	
60.0000000000	93077.2734375	92448.117188	105882.687500	98200.625000	94918.437500	91119.750000	292.856445	320.369476	731.838501	946.830872	763.005066	829.050964	731.804810	2.853522	0.001491	0.053332	
60.3333333333	93041.6171875	92411.796875	105816.226563	98170.625000	94811.593750	96540.484375	292.884705	321.316833	728.985718	947.584534	765.078796	837.223816	732.270142	2.741243	0.001492	0.051218	
60.6666666667	93822.8437500	93189.906250	106573.492188	98783.000000	95629.312500	97326.312500	292.599487	321.044800	734.186035	947.994324	764.668030	835.345886	730.656738	2.427907	0.001372	0.052275	
61.0000000000	93105.0000000	92485.585938	105847.593750	98218.914063	94916.937500	91250.593750	292.864899	320.328705	733.127502	947.634583	763.133057	835.443054	732.707458	2.910668	0.001498	0.052425	
61.3333333333	93046.2734375	92411.593750	105947.328125	98159.562500	94868.515625	96506.242188	292.883301	321.273926	731.422058	948.315369	764.808044	838.378845	730.298279	2.825844	0.001487	0.052629	
61.6666666667	93793.5312500	93169.156250	106618.078125	98720.671875	95561.093750	97277.953125	292.608521	321.237396	734.403259	949.242798	763.618286	837.552490	730.190735	2.421192	0.001362	0.051195	
62.0000000000	93118.8906250	92500.304688	106023.171875	98308.585938	94991.273438	91449.960938	292.868225	320.321411	733.290405	953.084106	761.217957	833.395874	728.578796	2.856804	0.001490	0.054107	
62.3333333333	93046.3281250	92425.757813	105867.046875	98097.046875	94934.585938	96471.734375	292.887390	321.196594	731.408569	953.935547	762.805847	837.039368	730.785339	2.785035	0.001481	0.054385	
62.6666666667	93778.5859375	93142.695313	106654.273438	98530.906250	95553.406250	97248.000000	292.631012	321.312103	730.838196	956.038086	760.968262	831.128357	731.991455	2.434323	0.001357	0.051538	
63.0000000000	93152.3906250	92519.281250	105754.640625	98197.132813	94952.421875	91683.281250	292.880768	320.300201	730.104858	959.214111	759.806702	829.509094	736.224854	2.953640	0.001487	0.052253	
63.3333333333	93041.7109375	92407.718750	105613.757813	97911.000000	94838.304688	96419.726563	292.909729	321.066956	726.168030	957.876831	762.628540	832.452087	736.283142	2.826067	0.001474	0.052061	
63.6666666667	93745.5234375	93112.093750	106376.164063	98396.914063	95543.187500	97176.085938	292.666016	321.260712	730.127991	959.027039	762.594604	833.528992	733.463867	2.381578	0.001352	0.052096	
64.0000000000	93177.6171875	92545.289063	105712.820313	98211.039063	95030.445313	91913.031250	292.900574	320.295929	730.533325	961.335144	761.753967	833.346375	732.186218	2.782648	0.001498	0.053603	
64.3333333333	93036.9062500	92399.031250	105819.773438	98044.859375	94886.929688	96563.562500	292.933746	320.941101	726.754639	960.458313	765.186951	837.562744	734.870178	2.680217	0.001521	0.053394	
64.6666666667	93713.5625000	93083.460938	106572.937500	98635.359375	95606.804688	97175.343750	292.698425	321.230072	731.683105	962.008789	764.449646	842.908752	740.132141	2.271985	0.001421	0.054446	
65.0000000000	93207.5625000	92576.296875	106206.078125	98563.585938	95155.726563	92389.250000	292.918640	320.320221	734.198059	969.578613	765.518616	842.277954	743.063110	2.888660	0.001555	0.055679	
65.3333333333	93039.2109375	92391.929688	106335.726563	98712.500000	95015.203125	96636.804688	292.950043	320.868500	731.405579	976.458496	769.352783	849.753357	743.886902	2.891570	0.001558	0.056120	
65.6666666667	93688.1406250	93063.125000	107247.617188	99093.843750	95716.492188	97190.695313	292.721893	321.382355	736.145020	986.007141	769.237976	850.349121	743.535706	2.514149	0.001463	0.057410	
66.0000000000	93244.0390625	92606.757813	106896.546875	99281.437500	95368.359375	92831.789063	292.927521	320.568207	736.590271	989.297852	767.720398	846.883972	747.940918	3.080019	0.001566	0.059715	
66.3333333333	93039.0703125	92395.429688	106743.523438	99324.867188	95049.664063	96672.437500	292.949860	321.008759	731.200317	991.700256	770.884155	848.361084	746.811523	3.157607	0.001567	0.056931	
66.6666666667	93670.8359375	93030.632813	107749.601563	99558.562500	95699.773438	97091.343750	292.737213	321.628906	731.665100	991.228699	769.438660	849.249634	745.282349	2.857028	0.001465	0.057438	
67.0000000000	93274.9843750	92638.210938	107362.812500	99650.078125	95364.265625	93232.625000	292.928497	320.903839	731.897034	987.861328	765.448914	841.837036	744.407471	3.541294	0.001572	0.059026	
67.3333333333	93043.3437500	92367.984375	107027.273438	99508.359375	95196.937500	96668.015625	292.950897	321.203674	729.154053	984.219238	766.822021	842.916626	738.183472	3.569047	0.001568	0.060477	
67.6666666667	93638.7343750	93006.953125	107829.851563	99799.703125	95669.656250	96990.273438	292.745117	321.912231	732.871582	980.142822	765.637329	843.631653	733.660156	3.152012	0.001473	0.057649	
68.0000000000	93316.2187500	92643.359375	107386.328125	99779.976563	95350.328125	93848.820313	292.930328	321.208862	732.195251	980.892944	763.127014	840.903503	729.450928	3.744888	0.001572	0.057785	
68.3333333333	93045.2656250	92393.531250	107298.406250	99609.328125	95204.625000	96705.507813	292.953400	321.251770	727.965881	973.993164	766.090393	840.639099	727.859802	3.703110	0.001569	0.060670	
68.6666666667	93593.8984375	92939.968750	107711.523438	99683.171875	95612.328125	96661.796875	292.764160	322.126984	733.271545	972.295898	765.472351	840.901428	726.095642	3.220572	0.001469	0.057401	
69.0000000000	93394.8906250	92733.750000	107578.156250	100148.554688	95500.335938	94689.953125	292.919769	321.485840	733.089111	970.554260	762.229858	837.323059	730.469482	3.795470	0.001563	0.059563	
69.3333333333	93042.1953125	92377.117188	107339.632813	99651.218750	95030.335938	96779.640625	292.948822	321.290649	729.363770	965.829895	766.023987	836.482544	729.421326	3.805541	0.001568	0.056697	
69.6666666667	93510.8046875	92860.476563	107827.367188	99743.148438	95662.953125	96248.929688	292.788483	322.304230	733.697571	966.193237	765.374146	839.862854	725.722717	3.292789	0.001476	0.060575	
70.0000000000	93479.3750000	92837.218750	107834.195313	100023.632813	95484.890625	95760.257813	292.906219	321.689972	732.187195	960.541870	760.223450	835.464539	728.105896	3.930727	0.001572	0.057275	
70.3333333333	93038.1562500	92382.257813	107311.828125	99520.468750	95048.601563	96548.695313	292.947662	321.093140	727.582764	957.779968	763.246887	833.455627	730.498474	3.902303	0.001570	0.057328	
70.6666666667	93437.7578125	92817.632813	107670.757813	99439.625000	95497.906250	95814.945313	292.826996	322.354919	729.785645	955.189270	763.067810	835.688477	728.551636	3.318304	0.001492	0.058509	
71.0000000000	93564.0546875	92925.093750	107777.523438	100126.546875	95634.703125	96717.945313	292.914764	321.793427	728.906494	953.028992	759.675415	835.996582	731.959717	3.943633	0.001575	0.058828	
71.3333333333	93038.3437500	92412.437500	107447.726563	99616.875000	95081.164063	96683.179688	292.960052	320.904083	725.525330	957.106323	763.346375	836.542908	727.517090	3.887979	0.001573	0.058037	
71.6666666667	93366.4843750	92694.414063	107588.210938	99718.625000	95463.656250	95347.007813	292.864685	322.387665	729.274048	955.556091	762.819946	835.999939	724.574036	3.294803	0.001503	0.059378	
