# DASYLab - V 12.00.01
# Worksheet name: Olympus AlfonsoX
# Recording date     : 27/04/2017, 17:51:37
# Block length       : 4
# Delta              : 0.333333 sec.
# Number of channels : 16
# Measurement time[s]	P0 [Pa]	P2 [Pa]	P3t [Pa]	P4t [Pa]	P5t [Pa]	P6t [Pa]	T2t [K]	T3t [K]	T4t1 [K]	T4t2 [K]	T5t1 [K]	T5t2 [K]	T8t [K]	Empuje [N]	fuel [kg*Hz]	aire [kg*Hz]	
0.0000000000	92968.5156250	91523.164063	288390.125000	282035.875000	132418.500000	132103.656250	297.182709	449.981842	1028.328125	929.342651	891.090637	899.809692	811.822449	144.741150	0.006915	0.339670	
0.3333333333	92968.0390625	91522.484375	288512.062500	282574.343750	132309.765625	131565.843750	297.272675	452.328613	1031.368774	929.296082	890.675415	899.728760	807.894653	144.880142	0.006916	0.339158	
0.6666666667	93779.3984375	92333.890625	288880.250000	282202.500000	132801.625000	132948.937500	297.336639	452.236450	1029.053711	926.972046	888.623901	903.145935	810.704529	144.900436	0.006901	0.338549	
1.0000000000	93010.5234375	91565.328125	288336.093750	281928.218750	132168.296875	132209.515625	297.418274	449.645721	1026.103394	930.065186	894.473755	903.674377	812.776123	144.822845	0.006895	0.337542	
1.3333333333	92923.0546875	91477.468750	288441.718750	281201.218750	131890.250000	131111.218750	297.482666	452.664734	1031.602173	929.010254	894.510437	905.672729	809.325134	144.854324	0.006903	0.336240	
1.6666666667	93705.2031250	92259.632813	287866.562500	282416.968750	133071.843750	132868.468750	297.461487	452.757843	1036.051514	927.562317	894.294067	906.420288	810.907471	144.671997	0.006895	0.339392	
2.0000000000	93102.8906250	91657.679688	288633.843750	281940.125000	132521.031250	132268.890625	297.395050	449.999054	1033.402466	928.458923	894.719849	906.479187	811.964050	144.695114	0.006902	0.338730	
2.3333333333	92947.6171875	91501.992188	289223.156250	282302.375000	132675.531250	131205.812500	297.412598	452.505157	1031.960205	928.689941	892.893982	903.189392	807.763611	144.647369	0.006903	0.340583	
2.6666666667	93615.5703125	92170.007813	289273.968750	282563.468750	132829.484375	132955.078125	297.371643	452.400513	1030.259521	926.222900	888.247742	902.718567	809.085022	144.583664	0.006898	0.339389	
3.0000000000	93159.0703125	91713.773438	288459.687500	281897.562500	132591.093750	132277.125000	297.260071	449.778656	1031.412354	931.371826	888.163269	902.608398	808.348511	144.655136	0.006899	0.339868	
3.3333333333	92935.5000000	91489.968750	289881.750000	283393.906250	132557.421875	131338.750000	297.304382	452.084869	1027.465210	931.207764	894.837891	904.040527	807.096802	144.787994	0.006940	0.339754	
3.6666666667	93526.5703125	92080.914063	292013.562500	286029.718750	133561.531250	133415.468750	297.231445	452.671112	1034.801025	927.572510	896.387024	907.028748	811.296082	145.124466	0.007010	0.342315	
4.0000000000	93238.0781250	91792.789063	294590.312500	288749.687500	134513.218750	134002.000000	297.048920	450.913849	1040.616089	934.261719	896.757813	910.641785	815.922363	145.965256	0.007101	0.347852	
4.3333333333	92932.7187500	91487.203125	294703.375000	288345.593750	134057.406250	132453.703125	297.089752	453.769073	1037.629517	935.821899	900.077820	909.651855	816.329163	146.920471	0.007143	0.346411	
4.6666666667	93402.4375000	91956.882813	296379.375000	291033.937500	135166.843750	135099.390625	297.005737	454.803375	1044.234619	934.358337	896.255737	913.853088	819.533386	147.922562	0.007226	0.350323	
5.0000000000	93341.0625000	91895.726563	299754.062500	293566.281250	135808.734375	135342.265625	296.782501	453.443298	1051.069580	939.798828	899.131409	917.679810	823.525818	149.632843	0.007319	0.353154	
5.3333333333	92920.9921875	91475.546875	300022.031250	295119.250000	136335.187500	133681.328125	296.900116	455.929138	1057.330200	946.870972	901.578003	915.269226	825.632446	151.357468	0.007420	0.357338	
5.6666666667	93268.5937500	91823.015625	302393.437500	296449.750000	136705.875000	136286.750000	296.908508	457.413208	1063.776001	950.402466	906.269348	922.277405	829.841980	153.107147	0.007486	0.356820	
6.0000000000	93468.6562500	92023.273438	303428.687500	297374.906250	136509.218750	136303.406250	296.726715	456.867065	1068.072266	955.189758	905.629639	923.356995	832.324219	154.680176	0.007510	0.355065	
6.3333333333	92931.2265625	91485.812500	303589.343750	298009.656250	136822.250000	134891.906250	296.924133	457.981506	1067.672363	959.524475	905.918396	922.234497	833.103943	156.033630	0.007547	0.358666	
6.6666666667	93138.1640625	91692.585938	307640.500000	301365.312500	138271.750000	137559.281250	296.990967	459.005707	1068.292236	960.777405	911.058289	930.274902	835.551453	157.650070	0.007700	0.363986	
7.0000000000	93550.2109375	92104.773438	309487.375000	302811.500000	138593.296875	138257.781250	296.826202	459.015350	1075.462402	969.648926	916.500732	933.734863	840.540100	159.189072	0.007780	0.363242	
7.3333333333	92918.4453125	91473.054688	309179.187500	303116.750000	138657.875000	136327.250000	297.105438	460.634949	1079.571777	976.599304	924.011230	933.614136	845.417908	160.695404	0.007827	0.365157	
7.6666666667	93033.6406250	91588.062500	308919.687500	303479.687500	138484.109375	137723.890625	297.170410	462.033447	1076.925049	980.175354	927.874146	937.902039	844.382751	161.848190	0.007843	0.363051	
8.0000000000	93648.0078125	92202.523438	309885.812500	303925.531250	139143.718750	138522.718750	296.932709	461.591949	1081.482666	984.527405	925.359985	939.931152	846.411072	163.002747	0.007855	0.364204	
8.3333333333	92930.7968750	91485.429688	311385.687500	304676.375000	138829.921875	136787.000000	297.175507	461.695435	1084.392822	985.446106	922.158020	939.397827	846.680786	164.098602	0.007937	0.365604	
